Live chat ID,Channel ID,Live chat create timestamp,Price,Parent live chat ID,Video ID,Live chat text
Ugy-2fbaAyV_Ch0VuK54AaABDqgBjtagnwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:28:49.543699+00:00,0,,buXHxYCl8o8,"{""text"":""jus a 404""}"
UgwJjVopXAASolf4UKx4AaABDqgBvKOZiQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:28:24.798643+00:00,0,,buXHxYCl8o8,"{""text"":""nah don't delete, it's not like there's an FBI agent constantly watching your phone""}"
Ugz27wWw61y1lbED9n14AaABDqgBmKXfnwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:25:05.278335+00:00,0,,buXHxYCl8o8,"{""text"":""VPNs aren't illegal even accessing the dark web isn't illegal as long as you don't do illegal things""}"
UgwwE6EZ791cUV7p94d4AaABDqgB9vKQlAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:23:58.932806+00:00,0,,buXHxYCl8o8,"{""text"":""yes when you use our today's sponsor! nordv...""}"
UgxJhDlQSXbnCIoWalx4AaABDqgB2IWSmwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:22:05.856021+00:00,0,,buXHxYCl8o8,"{""text"":""they're not accurate""}"
Ugw6EehD_f0S18Slmpd4AaABDqgBofHcjQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:20:53.297342+00:00,0,,buXHxYCl8o8,"{""text"":""yt doesn't have dislike but the hub has... so W hub""}"
UgxVuLOPVamhF2ZZITh4AaABDqgB4dLZlwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:18:54.30317+00:00,0,,buXHxYCl8o8,"{""text"":""W YouTube, W freedom and oil🇺🇲""}"
UgxygzcVuvymfWz1S_B4AaABDqgBjKPPnAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:17:30.893037+00:00,0,,buXHxYCl8o8,"{""text"":""YouTube gon be swimming in cash""}"
UgzpGT9l67Nf0Xh0CKJ4AaABDqgB1eHslQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:14:07.127658+00:00,0,,buXHxYCl8o8,"{""text"":""nah Facebook reels feels like a free lobotomy""}"
Ugy5cELTMerXgPuGB9B4AaABDqgB3qSLkgI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-18T22:13:19.493282+00:00,0,,buXHxYCl8o8,"{""text"":""you guys should turn on slow mode""}"
